time,date,total_population,contact_rate,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,still_infected,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
649,1/5/2022,1152400,10,127792,104,2284,7,124250,374,1258,373788,1595,32.76,373518,2098,32.74
650,1/6/2022,1152400,10,128027,235,2288,4,124418,168,1321,374666,878,32.84,374814,1296,32.85
651,1/7/2022,1152400,10,128190,163,2290,2,124684,266,1216,374666,,32.84,374814,,32.85
652,1/8/2022,1152400,10,128288,98,2292,2,124699,15,1297,374975,309,32.87,375415,601,32.91
653,1/9/2022,1152400,10,128343,55,2294,2,124712,13,1337,375219,244,32.89,375924,509,32.95
654,1/10/2022,1152400,10,128374,31,2297,3,124715,3,1362,377376,2157,33.08,377335,1411,33.07
655,1/11/2022,1152400,10,128519,145,2302,5,124875,160,1342,378879,1503,33.21,378632,1297,33.19
656,1/12/2022,1152400,10,128769,250,2304,2,124940,65,1525,380562,1683,33.36,380300,1668,33.33
657,1/13/2022,1152400,10,129042,273,2305,1,125155,215,1582,381878,1316,33.47,381521,1221,33.44
658,1/14/2022,1152400,10,129359,317,2309,4,125236,81,1814,383409,1531,33.61,382719,1198,33.55
659,1/15/2022,1152400,10,129706,347,2312,3,125333,97,2061,383780,371,33.64,382986,267,33.57
660,1/16/2022,1152400,10,129866,160,2317,5,125337,4,2212,384305,525,33.68,383376,390,33.6
661,1/17/2022,1152400,10,129952,86,2319,2,125338,1,2295,385873,1568,33.82,384581,1205,33.71
662,1/18/2022,1152400,10,130322,370,2326,7,125533,195,2463,387209,1336,33.94,385699,1118,33.81
663,1/19/2022,1152400,10,130890,568,2329,3,125661,128,2900,388447,1238,34.05,386877,1178,33.91
664,1/20/2022,1152400,10,131559,669,2331,2,125852,191,3376,389472,1025,34.14,388009,1132,34.01
665,1/21/2022,1152400,10,132261,702,2335,4,125890,38,4036,390686,1214,34.24,388991,982,34.1
666,1/22/2022,1152400,10,133089,828,2337,2,126002,112,4750,391106,420,34.28,389421,430,34.13
667,1/23/2022,1152400,10,133565,476,2340,3,126010,8,5215,391504,398,34.32,389933,512,34.18
668,1/24/2022,1152400,10,133959,394,2344,4,126247,237,5368,392750,1246,34.42,391268,1335,34.29
669,1/25/2022,1152400,10,134768,809,2353,9,126582,335,5833,393655,905,34.5,392300,1032,34.39
670,1/26/2022,1152400,10,135878,1110,2359,6,126731,149,6788,394931,1276,34.62,393778,1478,34.51
671,1/27/2022,1152400,10,137302,1424,2363,4,127006,275,7933,395983,1052,34.71,394874,1096,34.61
672,1/28/2022,1152400,10,139034,1732,2370,7,127347,341,9317,396894,911,34.79,395745,871,34.69
673,1/29/2022,1152400,10,141028,1994,2375,5,127543,196,11110,397352,458,34.83,396171,426,34.72
674,1/30/2022,1152400,10,142200,1172,2376,1,127708,165,12116,397764,412,34.86,396573,402,34.76
675,1/31/2022,1152400,10,143023,823,2383,7,127886,178,12754,398758,994,34.95,397538,965,34.84
676,2/1/2022,1152400,10,144464,1441,2391,8,128285,399,13788,399808,1050,35.04,398555,1017,34.93
677,2/2/2022,1152400,10,146159,1695,2396,5,128814,529,14949,400895,1087,35.14,399635,1080,35.03
678,2/3/2022,1152400,10,148145,1986,2405,9,129429,615,16311,401913,1018,35.23,400657,1022,35.12
679,2/4/2022,1152400,10,150666,2521,2408,3,130075,646,18183,402795,882,35.3,401546,889,35.2
680,2/5/2022,1152400,10,152643,1977,2412,4,130738,663,19493,403320,525,35.35,402063,517,35.24
681,2/6/2022,1152400,10,153934,1291,2416,4,131097,359,20421,403887,567,35.4,402574,511,35.29
682,2/7/2022,1152400,10,155076,1142,2420,4,131247,150,21409,405067,1180,35.5,403703,1129,35.38
683,2/8/2022,1152400,10,156903,1827,2431,11,132478,1231,21994,406133,1066,35.6,404784,1081,35.48
684,2/9/2022,1152400,10,158909,2006,2440,9,134187,1709,22282,407069,936,35.68,405667,883,35.56
685,2/10/2022,1152400,10,160826,1917,2446,6,135922,1735,22458,407843,774,35.75,406667,1000,35.64
686,2/11/2022,1152400,10,162325,1499,2452,6,138067,2145,21806,408836,993,35.83,407630,963,35.73
687,2/12/2022,1152400,10,163470,1145,2460,8,139978,1911,21032,409442,606,35.89,408136,506,35.77
688,2/13/2022,1152400,10,164164,694,2467,7,140228,250,21469,409752,310,35.91,408804,668,35.83
689,2/14/2022,1152400,10,164559,395,2470,3,140433,205,21656,410694,942,36,409563,759,35.9
690,2/15/2022,1152400,10,165353,794,2482,12,142335,1902,20536,411641,947,36.08,410410,847,35.97
691,2/16/2022,1152400,10,166360,1007,2488,6,144230,1895,19642,412224,583,36.13,410841,431,36.01
692,2/17/2022,1152400,10,167124,764,2495,7,146439,2209,18190,413437,1213,36.24,412185,1344,36.13
693,2/18/2022,1152400,10,167948,824,2503,8,149066,2627,16379,414425,988,36.32,413169,984,36.21
694,2/19/2022,1152400,10,168682,734,2509,6,151489,2423,14684,414908,483,36.37,413620,451,36.25
695,2/20/2022,1152400,10,169015,333,2510,1,151910,421,14595,415443,535,36.41,414126,506,36.3
696,2/21/2022,1152400,10,169266,251,2515,5,152434,524,14317,416419,976,36.5,415055,929,36.38
697,2/22/2022,1152400,10,169925,659,2522,7,154329,1895,13074,417351,932,36.58,415871,816,36.45
698,2/23/2022,1152400,10,170542,617,2524,2,156406,2077,11612,418273,922,36.66,416811,940,36.53
699,2/24/2022,1152400,10,171031,489,2530,6,158723,2317,9778,,,,,,
700,4/7/2022,1152400,10,175370,,,,,,,,,,,,
701,4/8/2022,1152400,10,175380,10,,,,,,,,,,,
702,4/9/2022,1152400,10,175395,15,,,,,,,,,,,
703,4/10/2022,1152400,10,175395,,,,,,,,,,,,
704,4/11/2022,1152400,10,175397,2,,,,,,,,,,,
705,4/12/2022,1152400,10,175406,9,,,,,,,,,,,
706,4/13/2022,1152400,10,175406,,,,,,,,,,,,
707,4/14/2022,1152400,10,175425,19,,,,,,,,,,,
708,4/15/2022,1152400,10,175439,14,,,,,,,,,,,
709,4/16/2022,1152400,10,175445,6,,,,,,,,,,,
710,4/17/2022,1152400,10,175445,,,,,,,,,,,,
711,4/18/2022,1152400,10,175448,3,,,,,,,,,,,
712,4/19/2022,1152400,10,175457,9,,,,,,,,,,,
713,4/20/2022,1152400,10,175473,16,,,,,,,,,,,
714,4/21/2022,1152400,10,175481,8,,,,,,,,,,,
715,4/22/2022,1152400,10,175489,8,,,,,,,,,,,
716,4/23/2022,1152400,10,175492,3,,,,,,,,,,,
717,4/24/2022,1152400,10,175494,2,,,,,,,,,,,
718,4/25/2022,1152400,10,175495,1,,,,,,,,,,,
719,4/26/2022,1152400,10,175508,13,,,,,,,,,,,
720,4/27/2022,1152400,10,175515,7,,,,,,,,,,,
721,4/28/2022,1152400,10,175515,,,,,,,,,,,,
722,4/29/2022,1152400,10,175528,13,,,,,,,,,,,
723,4/30/2022,1152400,10,175535,7,,,,,,,,,,,
724,5/1/2022,1152400,10,175539,4,,,,,,,,,,,
725,5/2/2022,1152400,10,175540,1,,,,,,,,,,,
726,5/3/2022,1152400,10,175540,,,,,,,,,,,,
727,5/4/2022,1152400,10,175540,,,,,,,,,,,,
728,5/5/2022,1152400,10,175540,,,,,,,,,,,,
729,5/6/2022,1152400,10,175540,,,,,,,,,,,,
730,5/7/2022,1152400,10,175540,,,,,,,,,,,,
731,5/8/2022,1152400,10,175540,,,,,,,,,,,,
732,5/9/2022,1152400,10,175578,38,,,,,,,,,,,
733,5/10/2022,1152400,10,175578,,,,,,,,,,,,
734,5/11/2022,1152400,10,175578,,,,,,,,,,,,
735,5/12/2022,1152400,10,175578,,,,,,,,,,,,
736,5/13/2022,1152400,10,175578,,,,,,,,,,,,
737,5/14/2022,1152400,10,175578,,,,,,,,,,,,
738,5/15/2022,1152400,10,175578,,,,,,,,,,,,
739,5/16/2022,1152400,10,175602,24,,,,,,,,,,,
740,5/17/2022,1152400,10,175602,,,,,,,,,,,,
741,5/18/2022,1152400,10,175602,,,,,,,,,,,,
742,5/19/2022,1152400,10,175602,,,,,,,,,,,,
743,5/20/2022,1152400,10,175602,,,,,,,,,,,,
744,5/21/2022,1152400,10,175602,,,,,,,,,,,,
745,5/22/2022,1152400,10,175602,,,,,,,,,,,,
746,5/23/2022,1152400,10,175614,12,,,,,,,,,,,
747,5/24/2022,1152400,10,175614,,,,,,,,,,,,
748,5/25/2022,1152400,10,175614,,,,,,,,,,,,
749,5/26/2022,1152400,10,175614,,,,,,,,,,,,
750,5/27/2022,1152400,10,175614,,,,,,,,,,,,
751,5/28/2022,1152400,10,175614,,,,,,,,,,,,
752,5/29/2022,1152400,10,175614,,,,,,,,,,,,
753,5/30/2022,1152400,10,175614,,,,,,,,,,,,
754,5/31/2022,1152400,10,175614,,,,,,,,,,,,
755,6/1/2022,1152400,10,175614,,,,,,,,,,,,
756,6/2/2022,1152400,10,175614,,,,,,,,,,,,
757,6/3/2022,1152400,10,175614,,,,,,,,,,,,
758,6/4/2022,1152400,10,175614,,,,,,,,,,,,
759,6/5/2022,1152400,10,175614,,,,,,,,,,,,
760,6/6/2022,1152400,10,175663,49,,,,,,,,,,,
761,6/7/2022,1152400,10,175663,,,,,,,,,,,,
762,6/8/2022,1152400,10,175663,,,,,,,,,,,,
763,6/9/2022,1152400,10,175663,,,,,,,,,,,,
764,6/10/2022,1152400,10,175663,,,,,,,,,,,,
765,6/11/2022,1152400,10,175663,,,,,,,,,,,,
766,6/12/2022,1152400,10,175663,,,,,,,,,,,,
767,6/13/2022,1152400,10,175663,,,,,,,,,,,,
768,6/14/2022,1152400,10,175663,,,,,,,,,,,,
769,6/15/2022,1152400,10,175663,,,,,,,,,,,,
770,6/16/2022,1152400,10,175663,,,,,,,,,,,,
771,6/17/2022,1152400,10,175663,,,,,,,,,,,,
772,6/18/2022,1152400,10,175663,,,,,,,,,,,,
773,6/19/2022,1152400,10,175663,,,,,,,,,,,,
774,6/20/2022,1152400,10,175663,,,,,,,,,,,,
775,6/21/2022,1152400,10,175663,,,,,,,,,,,,
776,6/22/2022,1152400,10,175663,,,,,,,,,,,,
777,6/23/2022,1152400,10,175663,,,,,,,,,,,,
778,6/24/2022,1152400,10,175663,,,,,,,,,,,,
779,6/25/2022,1152400,10,175663,,,,,,,,,,,,
780,6/26/2022,1152400,10,175663,,,,,,,,,,,,
781,6/27/2022,1152400,10,175663,,,,,,,,,,,,
782,6/28/2022,1152400,10,175663,,,,,,,,,,,,
783,6/29/2022,1152400,10,175663,,,,,,,,,,,,
784,6/30/2022,1152400,10,175663,,,,,,,,,,,,
785,7/1/2022,1152400,10,175663,,,,,,,,,,,,
786,7/2/2022,1152400,10,175663,,,,,,,,,,,,
787,7/3/2022,1152400,10,175663,,,,,,,,,,,,
788,7/4/2022,1152400,10,175663,,,,,,,,,,,,
789,7/5/2022,1152400,10,175663,,,,,,,,,,,,
790,7/6/2022,1152400,10,175663,,,,,,,,,,,,
791,7/7/2022,1152400,10,175663,,,,,,,,,,,,
792,7/8/2022,1152400,10,175663,,,,,,,,,,,,
793,7/9/2022,1152400,10,175663,,,,,,,,,,,,
794,7/10/2022,1152400,10,175663,,,,,,,,,,,,
795,7/11/2022,1152400,10,175663,,,,,,,,,,,,
796,7/12/2022,1152400,10,175663,,,,,,,,,,,,
797,7/13/2022,1152400,10,175663,,,,,,,,,,,,
798,7/14/2022,1152400,10,175663,,,,,,,,,,,,
799,7/15/2022,1152400,10,175663,,,,,,,,,,,,
800,7/16/2022,1152400,10,175663,,,,,,,,,,,,
801,7/17/2022,1152400,10,175663,,,,,,,,,,,,
802,7/18/2022,1152400,10,175663,,,,,,,,,,,,
803,7/19/2022,1152400,10,175663,,,,,,,,,,,,
804,7/20/2022,1152400,10,175663,,,,,,,,,,,,
805,7/21/2022,1152400,10,175663,,,,,,,,,,,,
806,7/22/2022,1152400,10,175663,,,,,,,,,,,,
807,7/23/2022,1152400,10,175663,,,,,,,,,,,,
808,7/24/2022,1152400,10,175663,,,,,,,,,,,,
809,7/25/2022,1152400,10,175663,,,,,,,,,,,,
810,7/26/2022,1152400,10,175663,,,,,,,,,,,,
811,7/27/2022,1152400,10,175663,,,,,,,,,,,,
812,7/28/2022,1152400,10,175663,,,,,,,,,,,,
813,7/29/2022,1152400,10,175663,,,,,,,,,,,,
814,7/30/2022,1152400,10,175663,,,,,,,,,,,,
815,7/31/2022,1152400,10,175663,,,,,,,,,,,,
816,8/1/2022,1152400,10,175663,,,,,,,,,,,,
817,8/2/2022,1152400,10,175663,,,,,,,,,,,,
818,8/3/2022,1152400,10,175663,,,,,,,,,,,,
819,8/4/2022,1152400,10,175663,,,,,,,,,,,,
820,8/5/2022,1152400,10,175663,,,,,,,,,,,,
821,8/6/2022,1152400,10,175663,,,,,,,,,,,,
822,8/7/2022,1152400,10,175663,,,,,,,,,,,,
823,8/8/2022,1152400,10,175663,,,,,,,,,,,,
824,8/9/2022,1152400,10,175663,,,,,,,,,,,,
825,8/10/2022,1152400,10,175663,,,,,,,,,,,,
826,8/11/2022,1152400,10,175663,,,,,,,,,,,,
827,8/12/2022,1152400,10,175663,,,,,,,,,,,,
828,8/13/2022,1152400,10,175663,,,,,,,,,,,,
829,8/14/2022,1152400,10,175663,,,,,,,,,,,,
830,8/15/2022,1152400,10,175663,,,,,,,,,,,,
831,8/16/2022,1152400,10,175663,,,,,,,,,,,,
832,8/17/2022,1152400,10,175663,,,,,,,,,,,,
833,8/18/2022,1152400,10,175663,,,,,,,,,,,,
834,8/19/2022,1152400,10,175663,,,,,,,,,,,,
835,8/20/2022,1152400,10,175663,,,,,,,,,,,,
836,8/21/2022,1152400,10,175663,,,,,,,,,,,,
837,8/22/2022,1152400,10,175663,,,,,,,,,,,,
838,8/23/2022,1152400,10,175663,,,,,,,,,,,,
839,8/24/2022,1152400,10,175663,,,,,,,,,,,,
840,8/25/2022,1152400,10,175663,,,,,,,,,,,,
841,8/26/2022,1152400,10,175663,,,,,,,,,,,,
842,8/27/2022,1152400,10,175663,,,,,,,,,,,,
843,8/28/2022,1152400,10,175663,,,,,,,,,,,,
844,8/29/2022,1152400,10,175663,,,,,,,,,,,,
845,8/30/2022,1152400,10,175663,,,,,,,,,,,,
846,8/31/2022,1152400,10,175663,,,,,,,,,,,,
847,9/1/2022,1152400,10,175663,,,,,,,,,,,,
848,9/2/2022,1152400,10,175663,,,,,,,,,,,,
849,9/3/2022,1152400,10,175663,,,,,,,,,,,,
850,9/4/2022,1152400,10,175663,,,,,,,,,,,,
851,9/5/2022,1152400,10,175663,,,,,,,,,,,,
852,9/6/2022,1152400,10,175663,,,,,,,,,,,,
853,9/7/2022,1152400,10,175663,,,,,,,,,,,,
854,9/8/2022,1152400,10,175663,,,,,,,,,,,,
855,9/9/2022,1152400,10,175663,,,,,,,,,,,,
856,9/10/2022,1152400,10,175663,,,,,,,,,,,,
857,9/11/2022,1152400,10,175663,,,,,,,,,,,,
858,9/12/2022,1152400,10,175663,,,,,,,,,,,,
859,9/13/2022,1152400,10,175663,,,,,,,,,,,,
860,9/14/2022,1152400,10,175663,,,,,,,,,,,,
861,9/15/2022,1152400,10,175663,,,,,,,,,,,,
862,9/16/2022,1152400,10,175663,,,,,,,,,,,,
863,9/17/2022,1152400,10,175663,,,,,,,,,,,,
